nr,name_de,name_en,typ1,typ2,region,generation,entwicklungsstufe,entwickelt_aus_de,entwickelt_aus_en,hp,angriff,verteidigung,spezial_angriff,spezial_verteidigung,initiative,sprite_url,sprite_bulbapedia
797,Kaguron,Celesteela,Stahl,Flug,Alola,VII,0,,,97,101,103,107,101,61,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/797.png,https://archives.bulbagarden.net/media/upload/f/f2/0797Celesteela.png
798,Katagami,Kartana,Pflanze,Stahl,Alola,VII,0,,,59,181,131,59,31,109,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/798.png,https://archives.bulbagarden.net/media/upload/7/7c/0798Kartana.png
799,Schlingking,Guzzlord,Unlicht,Drache,Alola,VII,0,,,223,101,53,97,53,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/799.png,https://archives.bulbagarden.net/media/upload/1/10/0799Guzzlord.png
800,Necrozma,Necrozma,Psycho,,Alola,VII,0,,,97,107,101,127,89,79,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/800.png,https://archives.bulbagarden.net/media/upload/0/00/0800Necrozma.png
801,Magearna,Magearna,Stahl,Fee,Alola,VII,0,,,80,95,115,130,115,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/801.png,https://archives.bulbagarden.net/media/upload/c/cb/0801Magearna.png
802,Marshadow,Marshadow,Kampf,Geist,Alola,VII,0,,,90,125,80,90,90,125,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/802.png,https://archives.bulbagarden.net/media/upload/7/7b/0802Marshadow.png
803,Venicro,Poipole,Gift,,Alola,VII,0,,,67,73,67,73,67,73,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/803.png,https://archives.bulbagarden.net/media/upload/2/21/0803Poipole.png
804,Agoyon,Naganadel,Gift,Drache,Alola,VII,1,,poipole,73,73,73,127,73,121,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/804.png,https://archives.bulbagarden.net/media/upload/8/84/0804Naganadel.png
805,Muramura,Stakataka,Gestein,Stahl,Alola,VII,0,,,61,131,211,53,101,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/805.png,https://archives.bulbagarden.net/media/upload/3/30/0805Stakataka.png
806,Kopplosio,Blacephalon,Feuer,Geist,Alola,VII,0,,,53,127,53,151,79,107,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/806.png,https://archives.bulbagarden.net/media/upload/4/48/0806Blacephalon.png
807,Zeraora,Zeraora,Elektro,,Alola,VII,0,,,88,112,75,102,80,143,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/807.png,https://archives.bulbagarden.net/media/upload/c/c5/0807Zeraora.png
808,Meltan,Meltan,Stahl,,Alola,VII,0,,,46,65,65,55,35,34,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/808.png,https://archives.bulbagarden.net/media/upload/b/bc/0808Meltan.png
809,Melmetal,Melmetal,Stahl,,Alola,VII,0,,meltan,135,143,143,80,65,34,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/809.png,https://archives.bulbagarden.net/media/upload/1/13/0809Melmetal.png
810,Chimpep,Grookey,Pflanze,,Galar,VIII,0,,,50,65,50,40,40,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/810.png,https://archives.bulbagarden.net/media/upload/0/0c/0810Grookey.png
811,Chimstix,Thwackey,Pflanze,,Galar,VIII,1,,grookey,70,85,70,55,60,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/811.png,https://archives.bulbagarden.net/media/upload/e/e8/0811Thwackey.png
812,Gortrom,Rillaboom,Pflanze,,Galar,VIII,2,,thwackey,100,125,90,60,70,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/812.png,https://archives.bulbagarden.net/media/upload/3/38/0812Rillaboom.png
813,Hopplo,Scorbunny,Feuer,,Galar,VIII,0,,,50,71,40,40,40,69,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/813.png,https://archives.bulbagarden.net/media/upload/1/10/0813Scorbunny.png
814,Kickerlo,Raboot,Feuer,,Galar,VIII,1,,scorbunny,65,86,60,55,60,94,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/814.png,https://archives.bulbagarden.net/media/upload/2/20/0814Raboot.png
815,Liberlo,Cinderace,Feuer,,Galar,VIII,2,,raboot,80,116,75,65,75,119,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/815.png,https://archives.bulbagarden.net/media/upload/6/61/0815Cinderace.png
816,Memmeon,Sobble,Wasser,,Galar,VIII,0,,,50,40,40,70,40,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/816.png,https://archives.bulbagarden.net/media/upload/8/88/0816Sobble.png
817,Phlegleon,Drizzile,Wasser,,Galar,VIII,1,,sobble,65,60,55,95,55,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/817.png,https://archives.bulbagarden.net/media/upload/8/8e/0817Drizzile.png
818,Intelleon,Inteleon,Wasser,,Galar,VIII,2,,drizzile,70,85,65,125,65,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/818.png,https://archives.bulbagarden.net/media/upload/d/dc/0818Inteleon.png
819,Raffel,Skwovet,Normal,,Galar,VIII,0,,,70,55,55,35,35,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/819.png,https://archives.bulbagarden.net/media/upload/6/6b/0819Skwovet.png
820,Schlaraffel,Greedent,Normal,,Galar,VIII,1,,skwovet,120,95,95,55,75,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/820.png,https://archives.bulbagarden.net/media/upload/a/a4/0820Greedent.png
821,Meikro,Rookidee,Flug,,Galar,VIII,0,,,38,47,35,33,35,57,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/821.png,https://archives.bulbagarden.net/media/upload/4/48/0821Rookidee.png
822,Kranoviz,Corvisquire,Flug,,Galar,VIII,1,,rookidee,68,67,55,43,55,77,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/822.png,https://archives.bulbagarden.net/media/upload/0/04/0822Corvisquire.png
823,Krarmor,Corviknight,Flug,Stahl,Galar,VIII,2,,corvisquire,98,87,105,53,85,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/823.png,https://archives.bulbagarden.net/media/upload/c/c2/0823Corviknight.png
824,Sensect,Blipbug,Käfer,,Galar,VIII,0,,,25,20,20,25,45,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/824.png,https://archives.bulbagarden.net/media/upload/4/4f/0824Blipbug.png
825,Keradar,Dottler,Käfer,Psycho,Galar,VIII,1,,blipbug,50,35,80,50,90,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/825.png,https://archives.bulbagarden.net/media/upload/1/12/0825Dottler.png
826,Maritellit,Orbeetle,Käfer,Psycho,Galar,VIII,2,,dottler,60,45,110,80,120,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/826.png,https://archives.bulbagarden.net/media/upload/5/57/0826Orbeetle.png
827,Kleptifux,Nickit,Unlicht,,Galar,VIII,0,,,40,28,28,47,52,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/827.png,https://archives.bulbagarden.net/media/upload/2/28/0827Nickit.png
828,Gaunux,Thievul,Unlicht,,Galar,VIII,1,,nickit,70,58,58,87,92,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/828.png,https://archives.bulbagarden.net/media/upload/1/16/0828Thievul.png
829,Cottini,Gossifleur,Pflanze,,Galar,VIII,0,,,40,40,60,40,60,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/829.png,https://archives.bulbagarden.net/media/upload/5/55/0829Gossifleur.png
830,Cottomi,Eldegoss,Pflanze,,Galar,VIII,1,,gossifleur,60,50,90,80,120,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/830.png,https://archives.bulbagarden.net/media/upload/9/95/0830Eldegoss.png
831,Wolly,Wooloo,Normal,,Galar,VIII,0,,,42,40,55,40,45,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/831.png,https://archives.bulbagarden.net/media/upload/2/2c/0831Wooloo.png
832,Zwollock,Dubwool,Normal,,Galar,VIII,1,,wooloo,72,80,100,60,90,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/832.png,https://archives.bulbagarden.net/media/upload/c/cd/0832Dubwool.png
833,Kamehaps,Chewtle,Wasser,,Galar,VIII,0,,,50,64,50,38,38,44,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/833.png,https://archives.bulbagarden.net/media/upload/2/29/0833Chewtle.png
834,Kamalm,Drednaw,Wasser,Gestein,Galar,VIII,1,,chewtle,90,115,90,48,68,74,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/834.png,https://archives.bulbagarden.net/media/upload/8/82/0834Drednaw.png
835,Voldi,Yamper,Elektro,,Galar,VIII,0,,,59,45,50,40,50,26,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/835.png,https://archives.bulbagarden.net/media/upload/8/8c/0835Yamper.png
836,Bellektro,Boltund,Elektro,,Galar,VIII,1,,yamper,69,90,60,90,60,121,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/836.png,https://archives.bulbagarden.net/media/upload/2/23/0836Boltund.png
837,Klonkett,Rolycoly,Gestein,,Galar,VIII,0,,,30,40,50,40,50,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/837.png,https://archives.bulbagarden.net/media/upload/5/5c/0837Rolycoly.png
838,Wagong,Carkol,Gestein,Feuer,Galar,VIII,1,,rolycoly,80,60,90,60,70,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/838.png,https://archives.bulbagarden.net/media/upload/0/01/0838Carkol.png
839,Montecarbo,Coalossal,Gestein,Feuer,Galar,VIII,2,,carkol,110,80,120,80,90,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/839.png,https://archives.bulbagarden.net/media/upload/c/c4/0839Coalossal.png
840,Knapfel,Applin,Pflanze,Drache,Galar,VIII,0,,,40,40,80,40,40,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/840.png,https://archives.bulbagarden.net/media/upload/7/75/0840Applin.png
841,Drapfel,Flapple,Pflanze,Drache,Galar,VIII,1,,applin,70,110,80,95,60,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/841.png,https://archives.bulbagarden.net/media/upload/a/ac/0841Flapple.png
842,Schlapfel,Appletun,Pflanze,Drache,Galar,VIII,1,,applin,110,85,80,100,80,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/842.png,https://archives.bulbagarden.net/media/upload/f/fe/0842Appletun.png
843,Salanga,Silicobra,Boden,,Galar,VIII,0,,,52,57,75,35,50,46,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/843.png,https://archives.bulbagarden.net/media/upload/c/cd/0843Silicobra.png
844,Sanaconda,Sandaconda,Boden,,Galar,VIII,1,,silicobra,72,107,125,65,70,71,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/844.png,https://archives.bulbagarden.net/media/upload/b/b9/0844Sandaconda.png
845,Urgl,Cramorant,Flug,Wasser,Galar,VIII,0,,,70,85,55,85,95,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/845.png,https://archives.bulbagarden.net/media/upload/0/0d/0845Cramorant.png
846,Pikuda,Arrokuda,Wasser,,Galar,VIII,0,,,41,63,40,40,30,66,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/846.png,https://archives.bulbagarden.net/media/upload/1/1f/0846Arrokuda.png
847,Barrakiefa,Barraskewda,Wasser,,Galar,VIII,1,,arrokuda,61,123,60,60,50,136,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/847.png,https://archives.bulbagarden.net/media/upload/e/e7/0847Barraskewda.png
848,Toxel,Toxel,Elektro,Gift,Galar,VIII,0,,,40,38,35,54,35,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/848.png,https://archives.bulbagarden.net/media/upload/f/fa/0848Toxel.png
849,Riffex,Toxtricity,Elektro,Gift,Galar,VIII,1,,toxel,75,98,70,114,70,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/849.png,https://archives.bulbagarden.net/media/upload/7/79/0849Toxtricity.png
850,Thermopod,Sizzlipede,Feuer,Käfer,Galar,VIII,0,,,50,65,45,50,50,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/850.png,https://archives.bulbagarden.net/media/upload/9/9b/0850Sizzlipede.png
851,Infernopod,Centiskorch,Feuer,Käfer,Galar,VIII,1,,sizzlipede,100,115,65,90,90,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/851.png,https://archives.bulbagarden.net/media/upload/8/83/0851Centiskorch.png
852,Klopptopus,Clobbopus,Kampf,,Galar,VIII,0,,,50,68,60,50,50,32,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/852.png,https://archives.bulbagarden.net/media/upload/2/2d/0852Clobbopus.png
853,Kaocto,Grapploct,Kampf,,Galar,VIII,1,,clobbopus,80,118,90,70,80,42,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/853.png,https://archives.bulbagarden.net/media/upload/c/cb/0853Grapploct.png
854,Fatalitee,Sinistea,Geist,,Galar,VIII,0,,,40,45,45,74,54,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/854.png,https://archives.bulbagarden.net/media/upload/f/f6/0854Sinistea.png
855,Mortipot,Polteageist,Geist,,Galar,VIII,1,,sinistea,60,65,65,134,114,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/855.png,https://archives.bulbagarden.net/media/upload/6/64/0855Polteageist.png
856,Brimova,Hatenna,Psycho,,Galar,VIII,0,,,42,30,45,56,53,39,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/856.png,https://archives.bulbagarden.net/media/upload/7/72/0856Hatenna.png
857,Brimano,Hattrem,Psycho,,Galar,VIII,1,,hatenna,57,40,65,86,73,49,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/857.png,https://archives.bulbagarden.net/media/upload/6/6a/0857Hattrem.png
858,Silembrim,Hatterene,Psycho,Fee,Galar,VIII,2,,hattrem,57,90,95,136,103,29,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/858.png,https://archives.bulbagarden.net/media/upload/1/19/0858Hatterene.png
859,Bähmon,Impidimp,Unlicht,Fee,Galar,VIII,0,,,45,45,30,55,40,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/859.png,https://archives.bulbagarden.net/media/upload/7/7c/0859Impidimp.png
860,Pelzebub,Morgrem,Unlicht,Fee,Galar,VIII,1,,impidimp,65,60,45,75,55,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/860.png,https://archives.bulbagarden.net/media/upload/f/f5/0860Morgrem.png
861,Olangaar,Grimmsnarl,Unlicht,Fee,Galar,VIII,2,,morgrem,95,120,65,95,75,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/861.png,https://archives.bulbagarden.net/media/upload/2/2d/0861Grimmsnarl.png
862,Barrikadax,Obstagoon,Unlicht,Normal,Galar,VIII,2,,linoone,93,90,101,60,81,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/862.png,https://archives.bulbagarden.net/media/upload/0/02/0862Obstagoon.png
863,Mauzinger,Perrserker,Stahl,,Galar,VIII,1,,meowth,70,110,100,50,60,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/863.png,https://archives.bulbagarden.net/media/upload/1/10/0863Perrserker.png
864,Gorgasonn,Cursola,Geist,,Galar,VIII,1,,corsola,60,95,50,145,130,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/864.png,https://archives.bulbagarden.net/media/upload/d/d1/0864Cursola.png
865,Lauchzelot,Sirfetch’d,Kampf,,Galar,VIII,1,,farfetchd,62,135,95,68,82,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/865.png,
866,Pantifrost,Mr. Rime,Eis,Psycho,Galar,VIII,2,,mr-mime,80,85,75,110,100,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/866.png,
867,Oghnatoll,Runerigus,Boden,Geist,Galar,VIII,1,,yamask,58,95,145,50,105,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/867.png,https://archives.bulbagarden.net/media/upload/8/80/0867Runerigus.png
868,Hokumil,Milcery,Fee,,Galar,VIII,0,,,45,40,40,50,61,34,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/868.png,https://archives.bulbagarden.net/media/upload/d/d0/0868Milcery.png
869,Pokusan,Alcremie,Fee,,Galar,VIII,1,,milcery,65,60,75,110,121,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/869.png,https://archives.bulbagarden.net/media/upload/8/81/0869Alcremie.png
870,Legios,Falinks,Kampf,,Galar,VIII,0,,,65,100,100,70,60,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/870.png,https://archives.bulbagarden.net/media/upload/8/87/0870Falinks.png
871,Britzigel,Pincurchin,Elektro,,Galar,VIII,0,,,48,101,95,91,85,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/871.png,https://archives.bulbagarden.net/media/upload/c/cf/0871Pincurchin.png
872,Snomnom,Snom,Eis,Käfer,Galar,VIII,0,,,30,25,35,45,30,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/872.png,https://archives.bulbagarden.net/media/upload/8/84/0872Snom.png
873,Mottineva,Frosmoth,Eis,Käfer,Galar,VIII,1,,snom,70,65,60,125,90,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/873.png,https://archives.bulbagarden.net/media/upload/b/b2/0873Frosmoth.png
874,Humanolith,Stonjourner,Gestein,,Galar,VIII,0,,,100,125,135,20,20,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/874.png,https://archives.bulbagarden.net/media/upload/f/ff/0874Stonjourner.png
875,Kubuin,Eiscue,Eis,,Galar,VIII,0,,,75,80,110,65,90,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/875.png,https://archives.bulbagarden.net/media/upload/6/6d/0875Eiscue.png
876,Servol,Indeedee,Psycho,Normal,Galar,VIII,0,,,60,65,55,105,95,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/876.png,https://archives.bulbagarden.net/media/upload/7/78/0876Indeedee.png
877,Morpeko,Morpeko,Elektro,Unlicht,Galar,VIII,0,,,58,95,58,70,58,97,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/877.png,https://archives.bulbagarden.net/media/upload/c/c3/0877Morpeko.png
878,Kupfanti,Cufant,Stahl,,Galar,VIII,0,,,72,80,49,40,49,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/878.png,https://archives.bulbagarden.net/media/upload/9/9a/0878Cufant.png
879,Patinaraja,Copperajah,Stahl,,Galar,VIII,1,,cufant,122,130,69,80,69,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/879.png,https://archives.bulbagarden.net/media/upload/a/a3/0879Copperajah.png
880,Lectragon,Dracozolt,Elektro,Drache,Galar,VIII,0,,,90,100,90,80,70,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/880.png,https://archives.bulbagarden.net/media/upload/f/fc/0880Dracozolt.png
881,Lecryodon,Arctozolt,Elektro,Eis,Galar,VIII,0,,,90,100,90,90,80,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/881.png,https://archives.bulbagarden.net/media/upload/f/fe/0881Arctozolt.png
882,Pescragon,Dracovish,Wasser,Drache,Galar,VIII,0,,,90,90,100,70,80,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/882.png,https://archives.bulbagarden.net/media/upload/f/f5/0882Dracovish.png
883,Pescryodon,Arctovish,Wasser,Eis,Galar,VIII,0,,,90,90,100,80,90,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/883.png,https://archives.bulbagarden.net/media/upload/2/2a/0883Arctovish.png
884,Duraludon,Duraludon,Stahl,Drache,Galar,VIII,0,,,70,95,115,120,50,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/884.png,https://archives.bulbagarden.net/media/upload/f/f4/0884Duraludon.png
885,Grolldra,Dreepy,Drache,Geist,Galar,VIII,0,,,28,60,30,40,30,82,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/885.png,https://archives.bulbagarden.net/media/upload/d/d0/0885Dreepy.png
886,Phandra,Drakloak,Drache,Geist,Galar,VIII,1,,dreepy,68,80,50,60,50,102,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/886.png,https://archives.bulbagarden.net/media/upload/2/21/0886Drakloak.png
887,Katapuldra,Dragapult,Drache,Geist,Galar,VIII,2,,drakloak,88,120,75,100,75,142,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/887.png,https://archives.bulbagarden.net/media/upload/e/e8/0887Dragapult.png
888,Zacian,Zacian,Fee,,Galar,VIII,0,,,92,120,115,80,115,138,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/888.png,https://archives.bulbagarden.net/media/upload/9/98/0888Zacian.png
889,Zamazenta,Zamazenta,Kampf,,Galar,VIII,0,,,92,120,115,80,115,138,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/889.png,https://archives.bulbagarden.net/media/upload/4/41/0889Zamazenta.png
890,Endynalos,Eternatus,Gift,Drache,Galar,VIII,0,,,140,85,95,145,95,130,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/890.png,https://archives.bulbagarden.net/media/upload/0/0e/0890Eternatus.png
891,Dakuma,Kubfu,Kampf,,Galar,VIII,0,,,60,90,60,53,50,72,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/891.png,https://archives.bulbagarden.net/media/upload/1/14/0891Kubfu.png
892,Wulaosu,Urshifu,Kampf,Unlicht,Galar,VIII,1,,kubfu,100,130,100,63,60,97,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/892.png,https://archives.bulbagarden.net/media/upload/b/b9/0892Urshifu.png
893,Zarude,Zarude,Unlicht,Pflanze,Galar,VIII,0,,,105,120,105,70,95,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/893.png,https://archives.bulbagarden.net/media/upload/b/bf/0893Zarude.png
894,Regieleki,Regieleki,Elektro,,Galar,VIII,0,,,80,100,50,100,50,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/894.png,https://archives.bulbagarden.net/media/upload/5/51/0894Regieleki.png
895,Regidrago,Regidrago,Drache,,Galar,VIII,0,,,200,100,50,100,50,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/895.png,https://archives.bulbagarden.net/media/upload/7/79/0895Regidrago.png
896,Polaross,Glastrier,Eis,,Galar,VIII,0,,,100,145,130,65,110,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/896.png,https://archives.bulbagarden.net/media/upload/d/d6/0896Glastrier.png
897,Phantoross,Spectrier,Geist,,Galar,VIII,0,,,100,65,60,145,80,130,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/897.png,https://archives.bulbagarden.net/media/upload/e/ef/0897Spectrier.png
898,Coronospa,Calyrex,Psycho,Pflanze,Galar,VIII,0,,,100,80,80,80,80,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/898.png,https://archives.bulbagarden.net/media/upload/8/80/0898Calyrex.png
899,Damythir,Wyrdeer,Normal,Psycho,Galar,VIII,1,,stantler,103,105,72,105,75,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/899.png,https://archives.bulbagarden.net/media/upload/9/97/0899Wyrdeer.png
900,Axantor,Kleavor,Käfer,Gestein,Galar,VIII,1,,scyther,70,135,95,45,70,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/900.png,https://archives.bulbagarden.net/media/upload/8/8f/0900Kleavor.png
901,Ursaluna,Ursaluna,Boden,Normal,Galar,VIII,2,,ursaring,130,140,105,45,80,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/901.png,https://archives.bulbagarden.net/media/upload/7/7c/0901Ursaluna.png
902,Salmagnis,Basculegion,Wasser,Geist,Galar,VIII,1,,basculin,120,112,65,80,75,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/902.png,https://archives.bulbagarden.net/media/upload/d/df/0902Basculegion.png
903,Snieboss,Sneasler,Kampf,Gift,Galar,VIII,1,,sneasel,80,130,60,40,80,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/903.png,https://archives.bulbagarden.net/media/upload/a/a3/0903Sneasler.png
904,Myriador,Overqwil,Unlicht,Gift,Galar,VIII,1,,qwilfish,85,115,95,65,65,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/904.png,https://archives.bulbagarden.net/media/upload/0/02/0904Overqwil.png
